row_id;pizza_id;ing_id
1;8;9
2;8;53
3;8;32
4;8;63
5;8;52
6;8;8
7;20;7
8;20;45
9;20;33
10;20;18
11;32;12
12;32;49
13;32;15
14;32;43
15;32;62
16;32;26
17;24;65
18;24;41
19;24;63
20;24;52
21;24;25
22;24;26
23;17;16
24;17;3
25;17;59
26;17;26
27;17;34
28;17;24
29;17;30
30;30;16
31;30;52
32;30;53
33;30;38
34;30;6
35;30;1
36;19;16
37;19;63
38;19;53
39;19;59
40;19;26
41;19;46
42;2;45
43;2;38
44;2;52
45;2;53
46;2;7
47;3;37
48;3;51
49;3;57
50;3;55
51;3;11
52;3;26
53;22;54
54;22;29
55;22;37
56;22;42
57;22;26
58;9;35
59;9;23
60;9;63
61;9;26
62;9;10
63;9;52
64;11;59
65;11;38
66;11;63
67;11;31
68;11;23
69;1;56
70;1;47
71;1;37
72;12;14
73;12;53
74;12;63
75;12;28
76;12;26
77;12;40
78;4;13
79;4;14
80;4;63
81;4;52
82;4;31
83;4;26
84;25;22
85;25;4
86;25;63
87;25;64
88;25;53
89;25;26
90;25;46
91;26;59
92;26;4
93;26;35
94;26;60
95;26;23
96;26;48
97;26;52
98;5;63
99;5;53
100;5;34
101;5;52
102;5;19
103;5;21
104;5;17
105;5;26
106;23;63
107;23;2
108;23;31
109;23;52
110;23;26
111;27;27
112;27;14
113;27;45
114;27;63
115;27;6
116;27;26
117;18;37
118;18;45
119;31;45
120;31;38
121;31;32
122;7;50
123;7;5
124;7;37
125;29;20
126;29;63
127;29;31
128;29;36
129;29;39
130;29;26
131;21;58
132;21;24
133;21;37
134;21;38
135;21;26
136;16;16
137;16;63
138;16;53
139;16;52
140;16;34
141;16;21
142;16;19
143;16;17
144;13;14
145;13;63
146;13;28
147;13;4
148;13;44
149;13;26
150;28;59
151;28;38
152;28;52
153;28;23
154;28;26
155;14;59
156;14;4
157;14;63
158;14;60
159;14;26
160;14;46
161;10;59
162;10;52
163;10;45
164;10;63
165;10;4
166;10;35
167;10;26
168;10;6
169;6;16
170;6;47
171;6;63
172;6;53
173;6;61
174;15;38
175;15;63
176;15;53
177;15;32
178;15;52
179;15;64
180;15;59
181;15;26
